timestamp_utc,model,config_hash,seed,split,note,n,quality_f1_macro,fusion_mae_mm,per_class_recall
2026-07-04T01:55:48+00:00,gru_baseline,bdad13674af4,1337,val,epoch=5 mock/plumbing tiny,37,0.8721,,{"GOOD": 1.0; "MARGINAL": 0.8571428571428571; "DEFECTIVE": 0.8}
2026-07-04T01:56:04+00:00,gru_baseline,bdad13674af4,1337,val,epoch=10 mock/plumbing tiny,37,0.9188,,{"GOOD": 1.0; "MARGINAL": 0.8571428571428571; "DEFECTIVE": 1.0}
2026-07-04T01:56:21+00:00,gru_baseline,bdad13674af4,1337,val,epoch=15 mock/plumbing tiny,37,0.9188,,{"GOOD": 1.0; "MARGINAL": 0.8571428571428571; "DEFECTIVE": 1.0}
2026-07-04T01:56:38+00:00,gru_baseline,bdad13674af4,1337,val,epoch=20 mock/plumbing tiny,37,0.9188,,{"GOOD": 1.0; "MARGINAL": 0.8571428571428571; "DEFECTIVE": 1.0}
2026-07-04T01:56:39+00:00,gru_baseline,70651f879d66,1337,test,mock/plumbing final,28,0.8643,,{"GOOD": 1.0; "MARGINAL": 0.7333333333333333; "DEFECTIVE": 1.0}
2026-07-04T23:53:14+00:00,oracle_ceiling_gbdt,79e1952a6301,1337,groupkfold,gate1.5 PASS,29000,,0.1094,{}
2026-07-06T03:40:27+00:00,polito_pretrain,8a68998bf644,1337,test,polito fault-bit; recon_mse=0.00083 mean_baseline=0.07430 gate0.5=pass,308,0.1423,,{"tp": 9; "fp": 260; "fn": 2; "tn": 37}
2026-07-07T02:16:22+00:00,world_model,afb8b8ffb9a4,1337,val,epoch=5 recon=0.4311 physics=0.2119 quality=1.2218 aux=13.9155 kl=3.5031 mock/plumbing,6,0.0000,,{"GOOD": 0.0; "MARGINAL": 0.0; "DEFECTIVE": 0.0}
2026-07-07T02:28:24+00:00,world_model,afb8b8ffb9a4,1337,val,epoch=10 recon=0.3710 physics=0.1077 quality=1.0984 aux=9.8144 kl=11.4427 mock/plumbing,6,0.2222,,{"GOOD": 1.0; "MARGINAL": 0.0; "DEFECTIVE": 0.0}
2026-07-07T02:28:24+00:00,world_model,4a3d565a6a48,1337,test,mock/plumbing final,5,0.1905,,{"GOOD": 1.0; "MARGINAL": 0.0; "DEFECTIVE": 0.0}
2026-07-07T02:43:42+00:00,world_model,71087d81824d,1337,val,epoch=5 recon=0.7162 physics=0.2873 quality=1.3606 aux=15.0709 kl=1.3223 mock/plumbing,4,0.0000,,{"GOOD": 0.0; "MARGINAL": 0.0; "DEFECTIVE": 0.0}
2026-07-07T13:10:13+00:00,world_model,71087d81824d,1337,val,epoch=10 recon=0.5644 physics=0.3195 quality=1.1659 aux=12.7095 kl=2.9273 mock/plumbing,4,0.0000,,{"GOOD": 0.0; "MARGINAL": 0.0; "DEFECTIVE": 0.0}
2026-07-07T13:15:35+00:00,world_model,71087d81824d,1337,val,epoch=12 recon=0.5385 physics=0.2758 quality=1.1381 aux=11.4967 kl=7.9505 mock/plumbing,4,0.0000,,{"GOOD": 0.0; "MARGINAL": 0.0; "DEFECTIVE": 0.0}
2026-07-07T13:15:36+00:00,world_model,20b80db1b8f9,1337,test,mock/plumbing final,4,0.0000,,{"GOOD": 0.0; "MARGINAL": 0.0; "DEFECTIVE": 0.0}
2026-07-07T13:22:54+00:00,world_model,575f79f37749,1337,val,epoch=5 recon=0.5158 physics=0.3544 quality=1.4654 aux=12.4100 kl=7.7194 mock/plumbing,8,0.0000,,{"GOOD": 0.0; "MARGINAL": 0.0; "DEFECTIVE": 0.0}
2026-07-07T13:24:47+00:00,world_model,575f79f37749,1337,val,epoch=10 recon=0.4842 physics=1.1080 quality=1.1898 aux=2.4306 kl=16.5262 mock/plumbing,8,0.0000,,{"GOOD": 0.0; "MARGINAL": 0.0; "DEFECTIVE": 0.0}
2026-07-07T13:26:55+00:00,world_model,575f79f37749,1337,val,epoch=15 recon=0.4749 physics=0.1838 quality=1.0913 aux=0.3499 kl=13.7459 mock/plumbing,8,0.2222,,{"GOOD": 0.0; "MARGINAL": 1.0; "DEFECTIVE": 0.0}
2026-07-07T13:29:10+00:00,world_model,575f79f37749,1337,val,epoch=20 recon=0.4797 physics=0.0939 quality=1.1294 aux=0.3481 kl=13.7587 mock/plumbing,8,0.2222,,{"GOOD": 1.0; "MARGINAL": 0.0; "DEFECTIVE": 0.0}
2026-07-07T13:31:23+00:00,world_model,575f79f37749,1337,val,epoch=25 recon=0.4366 physics=0.0671 quality=1.0904 aux=0.2242 kl=17.4246 mock/plumbing,8,0.2222,,{"GOOD": 0.0; "MARGINAL": 1.0; "DEFECTIVE": 0.0}
2026-07-07T13:33:44+00:00,world_model,575f79f37749,1337,val,epoch=30 recon=0.3928 physics=0.0510 quality=1.0877 aux=0.2065 kl=18.5325 mock/plumbing,8,0.2222,,{"GOOD": 0.0; "MARGINAL": 1.0; "DEFECTIVE": 0.0}
2026-07-07T13:35:59+00:00,world_model,575f79f37749,1337,val,epoch=35 recon=0.4007 physics=0.0420 quality=1.0887 aux=0.2390 kl=20.3023 mock/plumbing,8,0.2222,,{"GOOD": 1.0; "MARGINAL": 0.0; "DEFECTIVE": 0.0}
2026-07-07T13:38:14+00:00,world_model,575f79f37749,1337,val,epoch=40 recon=0.3875 physics=0.0367 quality=1.1410 aux=0.1844 kl=18.2603 mock/plumbing,8,0.2222,,{"GOOD": 0.0; "MARGINAL": 1.0; "DEFECTIVE": 0.0}
2026-07-07T13:38:14+00:00,world_model,e53276125ad0,1337,test,mock/plumbing final,11,0.2593,,{"GOOD": 0.0; "MARGINAL": 1.0; "DEFECTIVE": 0.0}
